ID_Agente,ID_Caso,Agente,Atributo,Género,Calidad,Labor,Relación_crímenes,Conteo_mínimo,Tipo_Institución,Doble_Atributo,RCDA,Proceso,
IDA7349,3400,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3400A,,null,,,,
IDA7350,3400,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3400B, 3400C",1,null,,,,
IDA7351,3400,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3400B,,null,,,,
IDA7352,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400C,1,null,,,,
IDA7353,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400C,1,null,,,,
IDA7354,3400,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3400A,,null,,,,
IDA7355,3400,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3400B,,null,,,,
IDA7356,3400,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3400B,,null,,,,
IDA7357,3400,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3400C,1,null,,,,
IDA7358,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400C,1,null,,,,
IDA7359,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400C,1,null,,,,
IDA7360,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400A,,null,,,,
IDA7361,3400,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3400A,,null,,,,
IDA7362,3401,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3401A,,null,,,,
IDA7363,3402,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3402A,,null,,,,
IDA7364,3402,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3402A,,null,,,,
IDA7365,3403,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7366,3403,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7367,3403,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7368,3403,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7369,3403,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7370,3403,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3403A, 3403B",,null,,,,
IDA7371,3403,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3403B,,null,,,,
IDA7372,3404,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3404A,,null,,,,
IDA7373,3404,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3404A,,null,,,,
IDA7374,3405,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3405A, 3405B",,null,,,,
IDA7375,3405,Persona,Víctima,Mujer,Sin especificar,Sin especificar,"3405A, 3405B",,null,,,,
IDA7376,3406,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3406A,,null,,,,
IDA7377,3406,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3406A,,null,,,,
IDA7378,3406,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3406A,,null,,,,
IDA7379,3407,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3407A,,null,,,,
IDA7380,3407,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3407A,,null,,,,
IDA7381,3408,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3408A,,null,,,,
IDA7382,3408,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3408A,,null,,,,
IDA7383,3409,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3409A,,null,,,,
IDA7384,3409,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3409A,,null,,,,
IDA7385,3409,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3409A,,null,,,,
IDA7386,3409,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3409A,,null,,,,
IDA7387,3410,Persona,Perpetrador,Hombre,Negro libre/mulato,Sin especificar,3410A,,null,,,,
IDA7388,3410,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3410A,1,null,,,,
IDA7389,3411,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3411A,,null,,,,
IDA7390,3411,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3411A,,null,,,,
IDA7391,3412,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3412A,,null,,,,
IDA7392,3412,Institución,Víctima,null,null,null,3412A,,Iglesia,,,,
IDA7393,3413,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3413A,,null,,,,
IDA7394,3413,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3413A,1,null,,,,
IDA7395,3414,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3414A,,null,,,,
IDA7396,3414,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3414A,,null,,,,
IDA7397,3415,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3415A, 3415B",,null,,,,
IDA7398,3415,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,"3415A, 3415B",,null,,,,
IDA7399,3415,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3415B,,null,,,,
IDA7400,3416,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3416A, 3416B",,null,,,,
IDA7401,3416,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,"3416A, 3416B",1,null,,,,
IDA7402,3416,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3416B,1,null,,,,
IDA7403,3417,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,3417A,,null,,,,
IDA7404,3417,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3417A,1,null,,,,
IDA7405,3418,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3418A,,null,,,,
IDA7406,3418,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3418A,,null,,,,
IDA7407,3419,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3419A,,null,,,,
IDA7408,3419,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3419A,,null,,,,
IDA7409,3420,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,"3420A, 3420B",,null,,,,
IDA7410,3420,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,"3420A, 3420B",,null,,,,
IDA7411,3420,Persona,Perpetrador,Hombre,Indígenas,Sin especificar,"3420A, 3420B",,null,,,,
IDA7412,3420,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3420A,,null,,,,
IDA7413,3420,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3420B,1,null,,,,
IDA7414,3421,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3421A, 3421B",,null,,,,
IDA7415,3422,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3422A,,null,,1,,
IDA7416,3422,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3422A,,null,,1,,
IDA7417,3422,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3422A,,null,,1,,
IDA7418,3422,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3422A,,null,,1,,
IDA7419,3422,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3422A,,null,,1,,
IDA7420,3422,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3422B,,null,,1,,
IDA7421,3422,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3422B,,null,,1,,
IDA7422,3424,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3424A,,null,,,,
IDA7423,3425,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3425A,,null,,,,
IDA7424,3425,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3425A,,null,,,,
IDA7425,3426,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3426A,,null,,,,
IDA7426,3426,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3426A,,null,,,,
IDA7427,3427,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3427A,,null,,,,
IDA7428,3427,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3427A,,null,,,,
IDA7429,3428,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3428A,,null,,,,
IDA7430,3428,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3428A,,null,,,,
IDA7431,3429,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3429A,,null,,,,
IDA7432,3429,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3429A,,null,,,,
IDA7433,3430,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3430A,,null,,,,
IDA7434,3430,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3430A,,null,,,,
IDA7435,3430,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3430A,,null,,,,
IDA7436,3431,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3431A,,null,,,,
IDA7437,3431,Institución,Víctima,null,null,null,3431A,,La autoridad,,,,
IDA7438,3432,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3432A,,null,,,,
IDA7439,3432,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3432A,,null,,,,
IDA7440,3434,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3434A,,null,,,,
IDA7441,3434,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3434A,,null,,,,
IDA7442,3435,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3435A,,null,,,,
IDA7443,3435,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3435A,,null,,,,
IDA7444,3436,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3436A,,null,,,,
IDA7445,3437,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3437A,,null,,,,
IDA7446,3437,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3437A,,null,,,,
IDA7447,3438,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3438A,,null,,,,
IDA7448,3438,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3438A,,null,,,,
IDA7449,3439,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3439A,,null,,,,
IDA7450,3439,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3439A,,null,,,,
IDA7451,3439,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3439A,,null,,,,
IDA7452,3440,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3440A,,null,,,,
IDA7453,3440,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3440A,,null,,,,
IDA7454,3441,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3441A,,null,,,,
IDA7455,3441,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3441A,,null,,,,
