ID_Caso,ID_Documento,Archivo,Código_Referencia,Sección,Fondo,Legajo,Documento,Folios,Número_Folios,Source
2616,2616B,AGN,SC.19,Colonia,Criminales (Juicios),122,13,523-624,1-3,AGNSC.1912213523-6242616B
2617,2617A,AGN,SC.19,Colonia,Criminales (Juicios),122,14,540-625,30+,AGNSC.1912214540-6252617A
2617,2617B,AGN,SC.19,Colonia,Criminales (Juicios),122,14,540-625,30+,AGNSC.1912214540-6252617B
2618,2618A,AGN,SC.19,Colonia,Criminales (Juicios),122,15,541-564,4-30,AGNSC.1912215541-5642618A
2619,2619A,AGN,SC.19,Colonia,Criminales (Juicios),122,16,565-569,4-30,AGNSC.1912216565-5692619A
2620,2620A,AGN,SC.19,Colonia,Criminales (Juicios),122,17,570-572,1-3,AGNSC.1912217570-5722620A
2620,2620B,AGN,SC.19,Colonia,Criminales (Juicios),122,17,570-572,1-3,AGNSC.1912217570-5722620B
2621,2621A,AGN,SC.19,Colonia,Criminales (Juicios),122,18,573-597,4-30,AGNSC.1912218573-5972621A
2622,2622A,AGN,SC.19,Colonia,Criminales (Juicios),122,19,598-601,1-3,AGNSC.1912219598-6012622A
2623,2623A,AGN,SC.19,Colonia,Criminales (Juicios),122,20,602-631,4-30,AGNSC.1912220602-6312623A
2624,2624A,AGN,SC.19,Colonia,Criminales (Juicios),122,21,632-689,30+,AGNSC.1912221632-6892624A
2625,2625A,AGN,SC.19,Colonia,Criminales (Juicios),122,22,690-703,4-30,AGNSC.1912222690-7032625A
2625,2625B,AGN,SC.19,Colonia,Criminales (Juicios),122,22,690-703,4-30,AGNSC.1912222690-7032625B
2626,2626A,AGN,SC.19,Colonia,Criminales (Juicios),122,23,704-712,4-30,AGNSC.1912223704-7122626A
2627,2627A,AGN,SC.19,Colonia,Criminales (Juicios),122,24,713-793,30+,AGNSC.1912224713-7932627A
2627,2627B,AGN,SC.19,Colonia,Criminales (Juicios),122,24,713-793,30+,AGNSC.1912224713-7932627B
2628,2628A,AGN,SC.19,Colonia,Criminales (Juicios),122,25,794-800,4-30,AGNSC.1912225794-8002628A
2628,2628B,AGN,SC.19,Colonia,Criminales (Juicios),122,25,794-800,4-30,AGNSC.1912225794-8002628B
2629,2629A,AGN,SC.19,Colonia,Criminales (Juicios),122,26,801-1001,30+,AGNSC.1912226801-10012629A
2630,2630A,AGN,SC.19,Colonia,Criminales (Juicios),123,2,33-57,4-30,AGNSC.19123233-572630A
2631,2631A,AGN,SC.19,Colonia,Criminales (Juicios),123,3,58-71,4-30,AGNSC.19123358-712631A
2632,2632A,AGN,SC.19,Colonia,Criminales (Juicios),123,4,72-114,30+,AGNSC.19123472-1142632A
2633,2633A,AGN,SC.19,Colonia,Criminales (Juicios),123,5,115-119,4-30,AGNSC.191235115-1192633A
2634,2634A,AGN,SC.19,Colonia,Criminales (Juicios),123,6,120-125,4-30,AGNSC.191236120-1252634A
2635,2635A,AGN,SC.19,Colonia,Criminales (Juicios),123,7,126-185,30+,AGNSC.191237126-1852635A
2636,2636A,AGN,SC.19,Colonia,Criminales (Juicios),123,8,186-286,30+,AGNSC.191238186-2862636A
2636,2636B,AGN,SC.19,Colonia,Criminales (Juicios),124,9,336-382,30+,AGNSC.191249336-3822636B
2636,2636C,AGN,SC.19,Colonia,Criminales (Juicios),128,3,480-573,30+,AGNSC.191283480-5732636C
2637,2637A,AGN,SC.19,Colonia,Criminales (Juicios),123,9,287-327,30+,AGNSC.191239287-3272637A
2638,2638A,AGN,SC.19,Colonia,Criminales (Juicios),123,10,328-342,4-30,AGNSC.1912310328-3422638A
2639,2639A,AGN,SC.19,Colonia,Criminales (Juicios),123,11,343-358,4-30,AGNSC.1912311343-3582639A
2640,2640A,AGN,SC.19,Colonia,Criminales (Juicios),123,12,359-362,1-3,AGNSC.1912312359-3622640A
2641,2641A,AGN,SC.19,Colonia,Criminales (Juicios),123,13,363-459,30+,AGNSC.1912313363-4592641A
2642,2642A,AGN,SC.19,Colonia,Criminales (Juicios),123,15,467-473,4-30,AGNSC.1912315467-4732642A
2643,2643A,AGN,SC.19,Colonia,Criminales (Juicios),123,16,467-473,4-30,AGNSC.1912316467-4732643A
2644,2644A,AGN,SC.19,Colonia,Criminales (Juicios),123,18,562-581,4-30,AGNSC.1912318562-5812644A
2645,2645A,AGN,SC.19,Colonia,Criminales (Juicios),123,19,582-583,1-3,AGNSC.1912319582-5832645A
2645,2645B,AGN,SC.19,Colonia,Criminales (Juicios),123,19,582-583,1-3,AGNSC.1912319582-5832645B
2646,2646A,AGN,SC.19,Colonia,Criminales (Juicios),123,20,584-585,1-3,AGNSC.1912320584-5852646A
2647,2647A,AGN,SC.19,Colonia,Criminales (Juicios),123,21,586-587,1-3,AGNSC.1912321586-5872647A
2647,2647B,AGN,SC.19,Colonia,Criminales (Juicios),123,21,586-587,1-3,AGNSC.1912321586-5872647B
2648,2648A,AGN,SC.19,Colonia,Criminales (Juicios),123,22,588-591,4-30,AGNSC.1912322588-5912648A
2648,2648B,AGN,SC.19,Colonia,Criminales (Juicios),123,22,588-591,4-30,AGNSC.1912322588-5912648B
2649,2649A,AGN,SC.19,Colonia,Criminales (Juicios),123,23,592-593,1-3,AGNSC.1912323592-5932649A
2650,2650A,AGN,SC.19,Colonia,Criminales (Juicios),123,24,594-595,1-3,AGNSC.1912324594-5952650A
2650,2650B,AGN,SC.19,Colonia,Criminales (Juicios),123,24,594-595,1-3,AGNSC.1912324594-5952650B
