ID_Caso,TipoProceso,MujeresMencionadas,FechaInicial,Fecha_Final
562,Proceso judicial criminal identificable,,1772,1772
563,Proceso judicial criminal identificable,,1795,1795
564,Proceso judicial criminal identificable,,1773,1773
565,Proceso judicial criminal identificable,,1777,1777
566,Proceso judicial criminal identificable,,1757,1757
567,Proceso judicial criminal identificable,,1774,1774
568,Proceso judicial criminal identificable,,1652,1652
569,Proceso judicial criminal identificable,1,1808,1808
570,Proceso judicial criminal identificable,,1640,1640
571,Proceso judicial criminal identificable,,1564,1564
572,Proceso judicial criminal identificable,1,1753,1753
573,Proceso judicial criminal identificable,,1775,1775
574,Proceso judicial criminal identificable,1,1750,1750
575,Proceso judicial criminal identificable,,1623,1623
576,Proceso judicial criminal identificable,,1762,1762
577,Proceso judicial criminal identificable,,1776,1776
578,Proceso judicial criminal identificable,1,1778,1778
579,Proceso judicial criminal identificable,,1700,1700
580,Proceso judicial criminal identificable,,1592,1592
581,Proceso judicial criminal identificable,1,1775,1775
582,Proceso judicial criminal identificable,1,1807,1807
583,Proceso judicial criminal identificable,1,1754,1754
584,Proceso judicial criminal identificable,,1724,1724
585,Proceso judicial criminal identificable,,1743,1743
586,Proceso judicial criminal identificable,,1639,1639
587,No es un proceso penal con delito identificable,,1738,1738
588,Proceso judicial criminal identificable,,1609,1609
589,Proceso judicial criminal identificable,1,1612,1612
590,Proceso judicial criminal identificable,1,1624,1624
591,Proceso judicial criminal identificable,,1666,1666
