ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID45,Buriticá,6.719911,-75.907016,Municipio,Colombia,null
LID46,Busbanzá,5.830776,-72.883983,Municipio,Colombia,null
LID47,Cáceres,7.582454,-75.347517,Municipio,Colombia,null
LID48,Cácota,7.268442,-72.641932,Municipio,Colombia,null
LID52,Caimán,8.283330862499973,-76.71657981955154,Sitio espesifíco,Colombia,null
LID53,Cajicá,4.917193,-74.025693,Municipio,Colombia,null
LID54,Calandaima,4.481288669999358,-74.54206210321593,Sitio espesifíco,Colombia,Hoy río en Cundinamarca y Tolima
LID55,Cali,3.455067,-76.532916,Municipio,Colombia,null
LID56,Caloto,3.034651,-76.406329,Municipio,Colombia,null
LID57,Caparrapí,5.346135,-74.491700,Municipio,Colombia,null
LID58,Capitanejo,6.529247,-72.698276,Municipio,Colombia,null
LID59,Cáqueza,4.405682,-73.946036,Municipio,Colombia,null
LID60,Caracas,10.483230,-66.895518,Municipio,Venezuela,null
LID61,Carare,6.784264813560417,-74.10006728855475,Sitio espesifíco,Colombia,Posiblemente Valle del río Carare
LID62,Carcasí,6.627359,-72.626190,Municipio,Colombia,null
LID63,Carrizal,8.4302,73.13236,Sitio espesifíco,Colombia,null
LID64,Cartagena de Indias,10.423295,-75.551217,Municipio,Colombia,null
LID65,Cartago,4.749680,-75.913325,Municipio,Colombia,null
LID66,Casanare,5.746997508138076,-71.22734227222675,Departamento/Provincia,Colombia,null
LID67,Caucán,8.2629,73.17044,Departamento/Provincia,Colombia,Posiblemente región del Valle
LID68,Cazalla de la Sierra,37.929493,-5.758987,Municipio,España,null
LID69,Cepitá,6.753064,-72.973472,Municipio,Colombia,null
LID70,Cerinza,5.956092,-72.948018,Municipio,Colombia,null
LID71,Cerrito,6.843493,-72.693976,Municipio,Colombia,null
LID72,Chaguaní,4.949644,-74.594807,Municipio,Colombia,null
LID73,Chámeza,5.213052,-72.871112,Municipio,Colombia,null
LID74,Chaparral,3.724597,-75.485124,Municipio,Colombia,null
LID75,Charalá,6.288126,-73.148288,Municipio,Colombia,null
LID76,Cheva,6.154506217060504,-72.54605453726533,Sitio espesifíco,Colombia,Hoy vereda de Boyacá
