"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"1217","1217B","Sumario instruido por José Antonio Alvarez, Alcalde de Capitanejo, a Pedro Antonio Quintero, por ultrajes al cura párroco del lugar y resistencia a la Real justicia.","19",,"1801","Capitanejo","Decisión metodológica","AGNSC.196111-3711217B","Desacato","Delitos"
"1218","1218A","Causa seguida por Francisco de Paula Canal, Alcalde de Pamplona, a Manuel Antonio Guerrero, por falsificación de monedas.","18","18.1","1787","Pamplona","Decisión metodológica","AGNSC.19612372-4251218A","Financiero",NULL
"1219","1219A","Juan Buenaventura Ortíz: Administrador de Correos de Bucaramanga, se querella a José Ignacio Ordoñez, Alcalde de la misma población, de haberle instruido sumario por amancebamiento y reducido a prisión.","10","10.1","1801","Bucaramanga","Contrademanda","AGNSC.19613426-4421219A","Concubinato","Concubinato"
"1219","1219B","Juan Buenaventura Ortíz: Administrador de Correos de Bucaramanga, se querella a José Ignacio Ordoñez, Alcalde de la misma población, de haberle instruido sumario por amancebamiento y reducido a prisión.","24","24.1","1801","Bucaramanga","Contrademanda","AGNSC.19613426-4421219B","Mala praxis de abogados","Jueces cuestionables"
"121","121A","Causa seguida a Diego Monroy, por hurtos y desacatos a las autoridades","20","20.1","1791","Tocaima","Perfectos","AGNSC.19525943-996121A","Robo","Robo"
"121","121B","Causa seguida a Diego Monroy, por hurtos y desacatos a las autoridades","19",,"1791","Tocaima","Perfectos","AGNSC.19525943-996121B","Desacato","Delitos"
"1220","1220A","Sumario instruido por Juan Francisco Reyes, Alcalde de Charalá, a Vicente Chacón, quien en la parroquia de Riachuelo, hirió mortalmente a Agustín Pico.","4","4.1","1805","Riachuelo","Decisión metodológica","AGNSC.19614443-5241220A","Violencia","Heridas"
"1220","1220B","Sumario instruido por Juan Francisco Reyes, Alcalde de Charalá, a Vicente Chacón, quien en la parroquia de Riachuelo, hirió mortalmente a Agustín Pico.","1","1.1","1805","Riachuelo","Decisión metodológica","AGNSC.19614443-5241220B","Homicidio","Homicidio"
"1221","1221A","Sumario instruido por Tomás Villarreal, alcalde de Simacota, a María del Carmen Martínez, por el homicidio de Pedro Aguilar, su marido.","1","1.2","1805","Simacota","Decisión metodológica","AGNSC.19615525-6351221A","Homicidio","Uxoricidio"
"1222","1222A","Demanda de Pablo Mayorga contra Francisco Díaz, quien lo hirió con arma blanca en el camino del Socorro a Guavatá, y contrademanda de Isabel de Acuña, madre de Leonor Díaz, a quien forzó el mencionado Mayorga.","4","4.1","1755","El Socorro","Contrademanda","AGNSC.19616636-7281222A","Violencia","Heridas"
"1222","1222B","Demanda de Pablo Mayorga contra Francisco Díaz, quien lo hirió con arma blanca en el camino del Socorro a Guavatá, y contrademanda de Isabel de Acuña, madre de Leonor Díaz, a quien forzó el mencionado Mayorga.","9","9.4","1755","El Socorro","Contrademanda","AGNSC.19616636-7281222B","Estupro","Violación"
"1223","1223A","Proceso de José María Galvis, José Manuel Ortega y María de la Concepción Barrera, su mujer, quienes apalearon a José Guadrón, el cual murió por tal causa.","4","4.1","1806","San Gil","Decisión metodológica","AGNSC.19617729-7701223A","Violencia","Heridas"
"1223","1223B","Proceso de José María Galvis, José Manuel Ortega y María de la Concepción Barrera, su mujer, quienes apalearon a José Guadrón, el cual murió por tal causa.","1","1.1","1806","San Gil","Decisión metodológica","AGNSC.19617729-7701223B","Homicidio","Homicidio"
"1224","1224A","Causa seguida por Pedro Villet, Gobernador de San Faustino, a José Antonio Cárdenas y Salas, por resistencia a los mandatos de la autoridad y amenazas a quienes los representaban.","19",,"1775","San Faustino","Decisión metodológica","AGNSC.19618771-8031224A","Desacato","Delitos"
"1224","1224B","Causa seguida por Pedro Villet, Gobernador de San Faustino, a José Antonio Cárdenas y Salas, por resistencia a los mandatos de la autoridad y amenazas a quienes los representaban.","6",,"1775","San Faustino","Decisión metodológica","AGNSC.19618771-8031224B","Amenazas","Delitos"
"1225","1225A","Notas al Virrey, de Francisco Vallejo, Gobernador de Girón, sobre los pasquines que le pusieron y actuaciones judiciales contra los presuntos autores de ellos.","16","16.1","1805","Girón","Decisión metodológica","AGNSC.19619804-8121225A","Injuria","Injuria"
