ID_Caso,ID_Crímen,Descripción
62,62A,"Demanda de Juana de Porras contra Diego Hernández Cueto, por **ultrajes **de obra"
63,63A,"Demanda de José Gabriel Gómez de Abreu contra Francisco Navarro Peláez, por **injurias**."
64,64A,"Juicio seguido a Miguel de Escalante y Luis López, por **riña **que tuvieron."
65,65A,"Demanda de Pedro López de Cañizares, por **injurias**, contra Diego López de Riego."
66,66A,"**Justificación **de una multa impuesta a Francisco Silvestre.
Documentos judiciales."
66,66B,"Justificación de **una multa** impuesta a Francisco Silvestre.
Documentos judiciales."
67,67A,"Nota del corregidor de Ubaque, remisoria de Tiburcio Melo, sumariado por **hurto**."
67,67B,"**Nota **del corregidor de Ubaque, remisoria de Tiburcio Melo, sumariado por hurto."
68,68A,"Sumario instruído por José María Navarrete, por **heridas **causadas **a Domingo Alvarado** y Luisa Melo."
69,69A,"Juicio seguido a Felipe de Santiago y Agustín Pardo, por **agresiones de obra **a José Díaz."
70,70A,"Proceso de José Gregorio Posadas, Ignacio Martínez, Mateo y Enrique de Caldas, quienes **robaron varias tiendas **de mercancías. **(1)**"
70,70B,"Proceso de José Gregorio Posadas, Ignacio Martínez, Mateo y Enrique de Caldas, quienes **robaron varias tiendas **de mercancías. **(2)**"
71,71A,"Juicio seguido a Felipe Lozano, por **desacatos **a Pedro José Medina, Alcalde de La Palma."
71,71B,"Causa seguida a Felipe y Francisco Lozano, por **irrespetos **y ataques a las autoridades de la Palma."
71,71C,"Felipe y Juan Francisco Lozano, vecinos de la Peña, se querellan de Pedro José Medina, alcalde local, por **agravios **que les hizo y atropellos que con ellos cometio."
71,71D,"Felipe y Juan Francisco Lozano, vecinos de la Peña, se querellan de Pedro José Medina, alcalde local, por agravios que les hizo y **atropellos **que con ellos cometio."
72,72A,"Causa seguida a José Enciso, por **hurtos**."
73,73A,"Demanda de José de la Cadena contra Jacinto Arias, por **injurias**, y contrademanda de Josefa Rosalía Lozano, madre de éste, por un escrito ofensivo que aquél le dirigió."
73,73B,"Demanda de José de la Cadena contra Jacinto Arias, por injurias, y **contrademanda **de Josefa Rosalía Lozano, madre de éste, **por un escrito ofensiv**o que aquél le dirigió."
74,74A,"Juicio seguido a Adrián de Cifuentes y María de Heredia, por **injurias de palabra** y ultrajes de hecho a Miguel de Aguirre y María de Barajas, su consorte"
74,74B,"Juicio seguido a Adrián de Cifuentes y María de Heredia, por injurias de palabra y **ultrajes de hecho** a Miguel de Aguirre y María de Barajas, su consorte"
75,75A,"Causa seguida a Juan Nepomuceno Lugo, por **irrespetos **a José Antonio Suárez, Alcalde de Zipacón."
76,76A,"Juicio seguido a Melchora Cortés, por **injuriar **a Fernando Méndez, en pleito por unas tierras en Chocontá."
76,76B,"Juicio seguido a Melchora Cortés, por injuriar a Fernando Méndez, en **pleito por unas tierras** en Chocontá."
76,76C,"Demanda de Fernando Antonio Méndez, por injurias, contra Melchora Cortés, y **apelación **por parte del demandante de la resolución que el corregidor de Zipaquirá dictó sobre la demanda."
77,77A,"Juicio seguido a José Antonio Olaya, Alcalde de La Mesa, por **injuriar **a Andrés Losada, y arbitrariedades cometidas en el desempeño de su cargo"
77,77B,"Juicio seguido a José Antonio Olaya, Alcalde de La Mesa, por injuriar a Andrés Losada, y **arbitrariedades **cometidas en el desempeño de su cargo"
78,78A,"Sumario instruido a Pedro de Porras y sus hijos, por el **homicidio **de Domingo Varela"
79,79A,"Causa seguida a Rafael y José Castor Alvarez, por haber **atacado **a Manuel Ezpeleta en San Victorino, al reclamarles un hijo, Felipe Neri, negro, que le habían quitado"
79,79B,"Causa seguida a Rafael y José Castor Alvarez, por haber atacado a Manuel Ezpeleta en San Victorino, al reclamarles un hijo, Felipe Neri, negro, que le habían **quitado**"
80,80A,"Causa seguida a Domingo Calvo, por el **uxoricidio **de Mónica Agustina de la Cruz"
81,81A,"Sumario instruído por Antonio Galindo, Alcalde de Lenguazaque, a Enrique Moncada y Pedro Herrera, por** cuatreros**"
82,82A,"Juicio seguido a José Arias García (alias Vilorio), por **hurtos**."
83,83A,"Causa seguida a Juan Francisco Muñoz, por **ultrajes de obra** a Sebastián Muñoz, su padre."
84,84A,"Demanda de Ceferina Villegas, contra Ventura Contreras, mujer de Miguel Jiménez, quien la **insultó **en los balcones de su casa"
85,85A,"Demanda de Francisco Núñez, por **ofensas **a su mujer, contra Juan Valderrama Gordillo."
86,86A,"Juicio a Juan Francisco Cortés y a otros matadores oficiales de perros, por un **homicidio **que cometieron en desempeño de su oficio"
87,87A,"Sumario instruído por José Torrijos Rincón, Corregidor de Ubaté, a Carlos y Miguel Alonso de Burgos, por **abigeato**"
88,88A,"Juicio seguido a Pedro Rico, por **desobedecer órdenes** de la Real Audiencia, y resistencia a Ignacio Molano y José Cabrera, alguaciles"
88,88B,"Juicio seguido a Pedro Rico, por desobedecer órdenes de la Real Audiencia, y **resistencia **a Ignacio Molano y José Cabrera, alguaciles"
89,89A,"Aprehensión de Juan López de Iturriaga, en Santafé, sindicado del **homicidio **del Capitán Pedro de Sayago, en Riobamba"
90,90A,"Juicio seguido a Juan de León, Alonso Jiménez, Luis de Solís y Juan Navarro, por la **riña **que tuvieron a espada en la Calle Real"
91,91A,"Causa seguida a Juan de León y Lucas de Torres, por la **pendencia **a espada que tuvieron."
